Datetime,Open,Close,High,Low,value,Volume,Datetime,extr,Разметка,neural_trends
2017-06-19,142.5,145.0,145.15,141.8,7954274311.3,55251940.0,2017-06-19,,buy,1.0
2017-06-20,145.2,144.9,147.1,143.5,8611404258.6,58990950.0,2017-06-20,,buy,1.0
2017-06-21,144.16,143.49,144.99,142.77,6907295034.7,48036300.0,2017-06-21,,buy,1.0
2017-06-22,142.39,144.25,145.69,141.78,7843783759.4,54360770.0,2017-06-22,,buy,1.0
2017-06-23,144.4,144.1,146.0,143.62,6126589053.9,42333900.0,2017-06-23,,buy,1.0
2017-06-26,144.85,144.49,146.49,143.81,6705611153.0,46189970.0,2017-06-26,,buy,1.0
2017-06-27,144.05,147.1,147.2,143.4,7436593075.2,51070850.0,2017-06-27,,buy,1.0
2017-06-28,146.2,145.5,146.45,144.71,6695923001.6,45975150.0,2017-06-28,,buy,1.0
2017-06-29,146.51,143.8,146.83,143.2,7089870660.9,48806780.0,2017-06-29,,buy,1.0
2017-06-30,143.2,145.59,146.73,142.88,9782692507.9,67210520.0,2017-06-30,,buy,1.0
2017-07-03,146.65,147.5,148.3,146.22,5655804978.8,38410910.0,2017-07-03,,buy,1.0
2017-07-04,147.5,149.39,149.8,147.11,5979632355.9,40165050.0,2017-07-04,,buy,1.0
2017-07-05,149.39,148.96,149.79,147.89,7176145870.6,48191260.0,2017-07-05,,buy,1.0
2017-07-06,149.2,150.35,151.03,148.9,7747127175.5,51568300.0,2017-07-06,,buy,1.0
2017-07-07,149.65,152.16,152.5,149.06,8634577444.2,57150370.0,2017-07-07,,buy,1.0
2017-07-10,152.48,155.0,155.34,152.36,9810656700.2,63627110.0,2017-07-10,,buy,1.0
2017-07-11,155.55,156.91,157.0,154.95,8930678023.5,57224430.0,2017-07-11,,buy,1.0
2017-07-12,157.53,160.85,160.99,157.5,11246061319.3,70426950.0,2017-07-12,,buy,1.0
2017-07-13,161.46,159.94,162.62,158.34,11501665989.3,71818670.0,2017-07-13,,buy,1.0
2017-07-14,159.9,161.4,162.26,159.43,7029017854.2,43599590.0,2017-07-14,,buy,1.0
2017-07-17,161.8,161.98,163.1,159.82,6484399938.7,40217710.0,2017-07-17,,buy,1.0
2017-07-18,162.0,161.7,162.99,160.88,5899017037.7,36470090.0,2017-07-18,,buy,1.0
2017-07-19,161.3,164.34,164.34,160.53,9184589048.0,56474420.0,2017-07-19,,buy,1.0
2017-07-20,164.06,163.93,164.91,163.47,6885473178.6,41944460.0,2017-07-20,,buy,1.0
2017-07-21,163.99,162.1,163.99,161.72,5698252930.7,35022910.0,2017-07-21,max,sell,0.0
2017-07-24,161.21,161.33,162.33,158.6,9238717282.1,57495790.0,2017-07-24,,sell,0.0
2017-07-25,161.66,160.22,162.3,159.92,6948155291.2,43210700.0,2017-07-25,,sell,0.0
2017-07-26,160.71,161.55,162.31,160.12,6873477732.4,42613080.0,2017-07-26,min,buy,1.0
2017-07-27,162.41,166.0,166.0,162.4,9084783029.6,55346350.0,2017-07-27,,buy,1.0
2017-07-28,165.37,165.4,165.75,163.15,8239426338.6,50132670.0,2017-07-28,,buy,1.0
2017-07-31,165.53,164.53,167.35,163.88,9216446332.4,55781520.0,2017-07-31,,buy,1.0
2017-08-01,165.5,166.31,168.0,165.3,9250912286.6,55355180.0,2017-08-01,,buy,1.0
2017-08-02,166.6,169.9,169.94,166.54,9333571917.6,55341010.0,2017-08-02,,buy,1.0
2017-08-03,170.0,170.0,170.98,169.17,9574768188.3,56318760.0,2017-08-03,,buy,1.0
2017-08-04,169.49,169.73,170.0,168.6,4613134895.7,27204000.0,2017-08-04,,buy,1.0
2017-08-07,170.47,172.79,172.95,170.38,6110748025.5,35533610.0,2017-08-07,,buy,1.0
2017-08-08,173.0,175.75,175.88,172.66,8806524274.8,50529650.0,2017-08-08,max,sell,0.0
2017-08-09,174.8,173.4,175.2,172.8,8522505060.2,49021230.0,2017-08-09,,sell,0.0
2017-08-10,173.75,172.2,174.16,172.01,5194393409.9,30020500.0,2017-08-10,,sell,0.0
2017-08-11,171.26,172.05,172.49,168.64,10364213054.1,60812390.0,2017-08-11,,sell,0.0
2017-08-14,173.0,172.51,173.77,171.37,5339481719.5,30902070.0,2017-08-14,,sell,0.0
2017-08-15,172.31,172.33,172.72,170.46,5211983477.8,30384890.0,2017-08-15,,sell,0.0
2017-08-16,172.95,173.05,175.3,172.83,7287122720.5,41837570.0,2017-08-16,,sell,0.0
2017-08-17,172.5,172.72,173.99,172.27,4513165987.6,26052310.0,2017-08-17,,sell,0.0
2017-08-18,171.71,169.5,171.71,168.13,8890463726.8,52379100.0,2017-08-18,min,buy,1.0
2017-08-21,169.77,169.9,170.69,168.5,6238468270.8,36731730.0,2017-08-21,,buy,1.0
2017-08-22,171.2,171.0,171.7,169.7,6465128071.4,37858620.0,2017-08-22,,buy,1.0
2017-08-23,171.0,175.3,175.3,170.98,9627578520.5,55467190.0,2017-08-23,,buy,1.0
2017-08-24,175.5,179.8,179.94,175.3,14044293824.0,78590210.0,2017-08-24,,buy,1.0
2017-08-25,180.85,180.51,182.25,179.6,12440671465.5,68786620.0,2017-08-25,,buy,1.0
2017-08-28,180.6,181.85,181.85,179.2,5055616286.3,27960960.0,2017-08-28,,buy,1.0
2017-08-29,182.0,181.89,182.0,179.51,8319540730.1,46130680.0,2017-08-29,,buy,1.0
2017-08-30,182.5,183.5,184.48,180.85,8882331416.9,48548970.0,2017-08-30,,buy,1.0
2017-08-31,182.99,183.51,186.33,181.71,11869911146.0,64267180.0,2017-08-31,,buy,1.0
2017-09-01,183.85,183.66,185.33,182.02,6320541804.0,34360100.0,2017-09-01,,buy,1.0
2017-09-04,181.51,184.1,185.27,180.93,4711229335.5,25717510.0,2017-09-04,,buy,1.0
2017-09-05,184.39,184.14,185.59,183.33,6327488789.8,34342180.0,2017-09-05,,buy,1.0
2017-09-06,183.25,183.12,183.73,181.47,6113254317.9,33518200.0,2017-09-06,,buy,1.0
2017-09-07,183.47,184.0,185.25,183.32,8419722993.1,45668560.0,2017-09-07,,buy,1.0
2017-09-08,184.1,185.89,187.43,183.77,11256739559.0,60690500.0,2017-09-08,,buy,1.0
2017-09-11,186.7,190.5,191.3,186.51,11688734683.6,61682280.0,2017-09-11,,buy,1.0
2017-09-12,191.03,189.32,192.31,188.14,9573649158.0,50535740.0,2017-09-12,,buy,1.0
2017-09-13,189.32,189.1,190.95,188.4,9062166438.5,47811940.0,2017-09-13,,buy,1.0
2017-09-14,189.0,188.64,189.39,186.0,7136047587.4,38052220.0,2017-09-14,max,sell,0.0
2017-09-15,188.73,188.75,189.3,186.72,8426981292.5,44784370.0,2017-09-15,,sell,0.0
2017-09-18,189.56,188.04,190.37,187.31,5576643004.0,29580440.0,2017-09-18,,sell,0.0
2017-09-19,187.68,184.85,187.72,184.55,7684352559.8,41401170.0,2017-09-19,min,buy,1.0
2017-09-20,184.5,186.47,186.47,182.65,9221486589.1,50034550.0,2017-09-20,max,sell,0.0
2017-09-21,186.4,187.38,188.37,183.8,7749064795.6,41621350.0,2017-09-21,min,buy,1.0
2017-09-22,187.35,187.55,188.77,186.77,7011588236.0,37307660.0,2017-09-22,,buy,1.0
2017-09-25,187.37,191.2,191.38,186.37,12166229937.5,64177070.0,2017-09-25,,buy,1.0
2017-09-26,191.56,192.54,195.0,191.54,15914348284.3,82080300.0,2017-09-26,,buy,1.0
2017-09-27,192.94,193.7,194.29,191.2,10618991613.5,55030940.0,2017-09-27,,buy,1.0
2017-09-28,193.68,191.96,194.3,191.53,7542998039.0,39113080.0,2017-09-28,max,sell,0.0
2017-09-29,192.0,192.33,192.94,190.8,5060521165.2,26325570.0,2017-09-29,min,buy,1.0
2017-10-02,192.76,193.0,194.1,191.1,6933205489.9,35954810.0,2017-10-02,,buy,1.0
2017-10-03,193.28,192.5,193.87,192.13,5533682367.3,28657490.0,2017-10-03,,buy,1.0
2017-10-04,192.49,192.03,192.59,191.22,5091932728.1,26536580.0,2017-10-04,max,sell,0.0
2017-10-05,192.0,193.74,193.93,189.06,9467430262.4,49466550.0,2017-10-05,,sell,0.0
2017-10-06,194.3,194.16,196.42,193.67,10227435466.8,52399740.0,2017-10-06,,sell,0.0
2017-10-09,194.2,194.0,194.9,192.58,5373260236.2,27756660.0,2017-10-09,,sell,0.0
2017-10-10,194.3,193.21,194.45,192.95,3453485572.4,17832400.0,2017-10-10,,sell,0.0
2017-10-11,193.95,195.83,196.75,193.56,11337850688.3,58002000.0,2017-10-11,,sell,0.0
2017-10-12,195.85,195.51,196.75,194.95,6850694986.5,34969250.0,2017-10-12,,sell,0.0
2017-10-13,195.62,196.48,197.29,195.2,5962001329.7,30338910.0,2017-10-13,,sell,0.0
2017-10-16,197.53,197.7,198.52,196.7,5333954891.7,26979280.0,2017-10-16,,sell,0.0
2017-10-17,197.3,197.2,198.0,196.07,5170771493.8,26239760.0,2017-10-17,,sell,0.0
2017-10-18,197.5,195.31,197.89,194.01,8523636778.7,43547040.0,2017-10-18,,sell,0.0
2017-10-19,195.26,192.2,195.69,191.81,7802313456.9,40359720.0,2017-10-19,,sell,0.0
2017-10-20,193.6,192.97,194.14,192.23,5602132932.1,29002730.0,2017-10-20,,sell,0.0
2017-10-23,193.41,192.34,193.64,190.82,5174666170.8,26949880.0,2017-10-23,,sell,0.0
2017-10-24,191.64,192.5,192.92,190.13,5416523676.0,28262140.0,2017-10-24,,sell,0.0
2017-10-25,193.0,192.04,194.37,192.04,6243911711.2,32303420.0,2017-10-25,min,buy,1.0
2017-10-26,192.65,192.75,193.5,190.72,4929054253.0,25634660.0,2017-10-26,,buy,1.0
2017-10-27,193.53,196.05,196.18,192.87,9095128102.3,46796590.0,2017-10-27,,buy,1.0
2017-10-30,196.32,195.0,197.7,195.0,6277844957.200003,31936710.0,2017-10-30,,buy,1.0
2017-10-31,194.81,193.8,196.36,193.8,5001491660.8,25643690.0,2017-10-31,max,sell,0.0
2017-11-01,194.49,194.05,197.05,193.33,7883144194.5,40292630.0,2017-11-01,,sell,0.0
2017-11-02,193.78,193.85,195.12,192.38,6542124745.6,33747050.0,2017-11-02,,sell,0.0
2017-11-03,194.77,193.8,195.75,193.2,5948715074.4,30615880.0,2017-11-03,,sell,0.0
2017-11-07,196.5,205.96,206.7,195.56,27335227905.6,135174410.0,2017-11-07,,sell,0.0
2017-11-08,205.95,209.09,211.77,204.06,18463478162.5,88294790.0,2017-11-08,,sell,0.0
2017-11-09,209.51,220.05,221.5,209.12,25131078100.0,116648980.0,2017-11-09,,sell,0.0
2017-11-10,221.0,217.7,229.4,216.61,31904349106.4,143570000.0,2017-11-10,,sell,0.0
2017-11-13,217.7,216.61,223.99,215.78,11138678402.6,50943980.0,2017-11-13,,sell,0.0
2017-11-14,216.5,221.4,222.2,215.96,10103261935.0,45905390.0,2017-11-14,,sell,0.0
2017-11-15,222.5,225.95,227.75,221.54,16229168442.8,72212510.0,2017-11-15,,sell,0.0
2017-11-16,227.79,227.5,228.58,219.09,19176265125.3,85863110.0,2017-11-16,,sell,0.0
2017-11-17,227.9,225.65,228.0,224.1,8573514177.6,37958790.0,2017-11-17,,sell,0.0
2017-11-20,225.7,224.6,225.97,223.16,4231160320.3,18853280.0,2017-11-20,,sell,0.0
2017-11-21,225.5,231.0,232.99,224.07,17837960781.3,77573460.0,2017-11-21,,sell,0.0
2017-11-22,231.89,230.25,233.95,228.38,10595939291.9,45932160.0,2017-11-22,,sell,0.0
2017-11-23,230.26,225.56,230.99,225.06,9330357961.4,41140440.0,2017-11-23,,sell,0.0
2017-11-24,225.4,228.0,228.0,222.15,9997172091.8,44277250.0,2017-11-24,,sell,0.0
2017-11-27,228.4,226.76,229.04,225.0,5436342465.1,24026270.0,2017-11-27,,sell,0.0
2017-11-28,221.0,230.0,230.0,221.0,9262559734.9,40901370.0,2017-11-28,,sell,0.0
2017-11-29,230.1,228.2,231.5,226.7,7856818233.2,34340960.0,2017-11-29,,sell,0.0
2017-11-30,228.0,224.35,228.92,222.35,10404361757.6,46122870.0,2017-11-30,,sell,0.0
2017-12-01,224.5,221.5,225.76,220.76,8919211002.8,39983910.0,2017-12-01,,sell,0.0
2017-12-04,222.0,224.6,226.0,219.55,10084238647.7,45155240.0,2017-12-04,,sell,0.0
2017-12-05,224.0,223.91,224.55,222.0,6225542245.0,27885630.0,2017-12-05,,sell,0.0
2017-12-06,222.65,223.75,224.9,221.57,5176844772.0,23136530.0,2017-12-06,,sell,0.0
2017-12-07,223.83,219.81,224.79,219.23,8479226905.0,38228880.0,2017-12-07,,sell,0.0
2017-12-08,219.9,220.89,223.0,219.61,6278494763.3,28324950.0,2017-12-08,,sell,0.0
2017-12-11,221.4,227.69,227.69,221.1,7755866513.4,34539660.0,2017-12-11,min,buy,1.0
2017-12-12,229.0,227.9,230.5,226.11,9044519248.300009,39739590.0,2017-12-12,,buy,1.0
2017-12-13,227.3,221.8,228.33,220.54,13761226490.9,61576220.0,2017-12-13,,buy,1.0
2017-12-14,222.11,229.9,229.9,221.1,12545681252.0,55632890.0,2017-12-14,max,sell,0.0
2017-12-15,228.9,226.53,229.79,225.57,9655337244.7,42529200.0,2017-12-15,,sell,0.0
2017-12-18,227.49,227.4,228.9,225.7,5575586274.9,24519570.0,2017-12-18,min,buy,1.0
2017-12-19,227.99,224.1,228.5,223.5,7890943719.4,34991830.0,2017-12-19,max,sell,0.0
2017-12-20,224.28,226.0,226.68,222.7,7701499395.7,34199080.0,2017-12-20,,sell,0.0
2017-12-21,226.46,223.6,227.39,222.35,7806001248.3,34750260.0,2017-12-21,,sell,0.0
2017-12-22,223.68,221.44,224.64,221.12,4796035917.1,21524310.0,2017-12-22,,sell,0.0
2017-12-25,222.22,223.3,223.9,221.65,2494220546.4,11183210.0,2017-12-25,,sell,0.0
